3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
°¡	0xa1b0	0x554a
°¢	0xa2b0	0x963f
°£	0xa3b0	0x57c3
°¤	0xa4b0	0x6328
°¥	0xa5b0	0x54ce
°¦	0xa6b0	0x5509
°§	0xa7b0	0x54c0
°¨	0xa8b0	0x7691
°©	0xa9b0	0x764c
°ª	0xaab0	0x853c
°«	0xabb0	0x77ee
°¬	0xacb0	0x827e
°­	0xadb0	0x788d
°®	0xaeb0	0x7231
°¯	0xafb0	0x9698
°°	0xb0b0	0x978d
°±	0xb1b0	0x6c28
°²	0xb2b0	0x5b89
°³	0xb3b0	0x4ffa
°´	0xb4b0	0x6309
°µ	0xb5b0	0x6697
°¶	0xb6b0	0x5cb8
°·	0xb7b0	0x80fa
°¸	0xb8b0	0x6848
°¹	0xb9b0	0x80ae
°º	0xbab0	0x6602
°»	0xbbb0	0x76ce
°¼	0xbcb0	0x51f9
°½	0xbdb0	0x6556
°¾	0xbeb0	0x71ac
°¿	0xbfb0	0x7ff1
°À	0xc0b0	0x8884
°Á	0xc1b0	0x50b2
°Â	0xc2b0	0x5965
°Ã	0xc3b0	0x61ca
°Ä	0xc4b0	0x6fb3
°Å	0xc5b0	0x82ad
°Æ	0xc6b0	0x634c
°Ç	0xc7b0	0x6252
°È	0xc8b0	0x53ed
°É	0xc9b0	0x5427
°Ê	0xcab0	0x7b06
°Ë	0xcbb0	0x516b
°Ì	0xccb0	0x75a4
°Í	0xcdb0	0x5df4
°Î	0xceb0	0x62d4
°Ï	0xcfb0	0x8dcb
°Ð	0xd0b0	0x9776
°Ñ	0xd1b0	0x628a
°Ò	0xd2b0	0x8019
°Ó	0xd3b0	0x575d
°Ô	0xd4b0	0x9738
°Õ	0xd5b0	0x7f62
°Ö	0xd6b0	0x7238
°×	0xd7b0	0x767d
°Ø	0xd8b0	0x67cf
°Ù	0xd9b0	0x767e
°Ú	0xdab0	0x6446
°Û	0xdbb0	0x4f70
°Ü	0xdcb0	0x8d25
°Ý	0xddb0	0x62dc
°Þ	0xdeb0	0x7a17
°ß	0xdfb0	0x6591
°à	0xe0b0	0x73ed
°á	0xe1b0	0x642c
°â	0xe2b0	0x6273
°ã	0xe3b0	0x822c
°ä	0xe4b0	0x9881
°å	0xe5b0	0x677f
°æ	0xe6b0	0x7248
°ç	0xe7b0	0x626e
°è	0xe8b0	0x62cc
°é	0xe9b0	0x4f34
°ê	0xeab0	0x74e3
°ë	0xebb0	0x534a
°ì	0xecb0	0x529e
°í	0xedb0	0x7eca
°î	0xeeb0	0x90a6
°ï	0xefb0	0x5e2e
°ð	0xf0b0	0x6886
°ñ	0xf1b0	0x699c
°ò	0xf2b0	0x8180
°ó	0xf3b0	0x7ed1
°ô	0xf4b0	0x68d2
°õ	0xf5b0	0x78c5
°ö	0xf6b0	0x868c
°÷	0xf7b0	0x9551
°ø	0xf8b0	0x508d
°ù	0xf9b0	0x8c24
°ú	0xfab0	0x82de
°û	0xfbb0	0x80de
°ü	0xfcb0	0x5305
°ý	0xfdb0	0x8912
°þ	0xfeb0	0x5265
±¡	0xa1b1	0x8584
±¢	0xa2b1	0x96f9
±£	0xa3b1	0x4fdd
±¤	0xa4b1	0x5821
±¥	0xa5b1	0x9971
±¦	0xa6b1	0x5b9d
±§	0xa7b1	0x62b1
±¨	0xa8b1	0x62a5
±©	0xa9b1	0x66b4
±ª	0xaab1	0x8c79
±«	0xabb1	0x9c8d
±¬	0xacb1	0x7206
±­	0xadb1	0x676f
±®	0xaeb1	0x7891
±¯	0xafb1	0x60b2
±°	0xb0b1	0x5351
±±	0xb1b1	0x5317
±²	0xb2b1	0x8f88
±³	0xb3b1	0x80cc
±´	0xb4b1	0x8d1d
±µ	0xb5b1	0x94a1
±¶	0xb6b1	0x500d
±·	0xb7b1	0x72c8
±¸	0xb8b1	0x5907
±¹	0xb9b1	0x60eb
±º	0xbab1	0x7119
±»	0xbbb1	0x88ab
±¼	0xbcb1	0x5954
±½	0xbdb1	0x82ef
±¾	0xbeb1	0x672c
±¿	0xbfb1	0x7b28
±À	0xc0b1	0x5d29
±Á	0xc1b1	0x7ef7
±Â	0xc2b1	0x752d
±Ã	0xc3b1	0x6cf5
±Ä	0xc4b1	0x8e66
±Å	0xc5b1	0x8ff8
±Æ	0xc6b1	0x903c
±Ç	0xc7b1	0x9f3b
±È	0xc8b1	0x6bd4
±É	0xc9b1	0x9119
±Ê	0xcab1	0x7b14
±Ë	0xcbb1	0x5f7c
±Ì	0xccb1	0x78a7
±Í	0xcdb1	0x84d6
±Î	0xceb1	0x853d
±Ï	0xcfb1	0x6bd5
±Ð	0xd0b1	0x6bd9
±Ñ	0xd1b1	0x6bd6
±Ò	0xd2b1	0x5e01
±Ó	0xd3b1	0x5e87
±Ô	0xd4b1	0x75f9
±Õ	0xd5b1	0x95ed
±Ö	0xd6b1	0x655d
±×	0xd7b1	0x5f0a
±Ø	0xd8b1	0x5fc5
±Ù	0xd9b1	0x8f9f
±Ú	0xdab1	0x58c1
±Û	0xdbb1	0x81c2
±Ü	0xdcb1	0x907f
±Ý	0xddb1	0x965b
±Þ	0xdeb1	0x97ad
±ß	0xdfb1	0x8fb9
±à	0xe0b1	0x7f16
±á	0xe1b1	0x8d2c
±â	0xe2b1	0x6241
±ã	0xe3b1	0x4fbf
±ä	0xe4b1	0x53d8
±å	0xe5b1	0x535e
±æ	0xe6b1	0x8fa8
±ç	0xe7b1	0x8fa9
±è	0xe8b1	0x8fab
±é	0xe9b1	0x904d
±ê	0xeab1	0x6807
±ë	0xebb1	0x5f6a
±ì	0xecb1	0x8198
±í	0xedb1	0x8868
±î	0xeeb1	0x9cd6
±ï	0xefb1	0x618b
±ð	0xf0b1	0x522b
±ñ	0xf1b1	0x762a
±ò	0xf2b1	0x5f6c
±ó	0xf3b1	0x658c
±ô	0xf4b1	0x6fd2
±õ	0xf5b1	0x6ee8
±ö	0xf6b1	0x5bbe
±÷	0xf7b1	0x6448
±ø	0xf8b1	0x5175
±ù	0xf9b1	0x51b0
±ú	0xfab1	0x67c4
±û	0xfbb1	0x4e19
±ü	0xfcb1	0x79c9
±ý	0xfdb1	0x997c
±þ	0xfeb1	0x70b3
²¡	0xa1b2	0x75c5
²¢	0xa2b2	0x5e76
²£	0xa3b2	0x73bb
²¤	0xa4b2	0x83e0
²¥	0xa5b2	0x64ad
²¦	0xa6b2	0x62e8
²§	0xa7b2	0x94b5
²¨	0xa8b2	0x6ce2
²©	0xa9b2	0x535a
²ª	0xaab2	0x52c3
²«	0xabb2	0x640f
²¬	0xacb2	0x94c2
²­	0xadb2	0x7b94
²®	0xaeb2	0x4f2f
²¯	0xafb2	0x5e1b
²°	0xb0b2	0x8236
²±	0xb1b2	0x8116
²²	0xb2b2	0x818a
²³	0xb3b2	0x6e24
²´	0xb4b2	0x6cca
²µ	0xb5b2	0x9a73
²¶	0xb6b2	0x6355
²·	0xb7b2	0x535c
²¸	0xb8b2	0x54fa
²¹	0xb9b2	0x8865
²º	0xbab2	0x57e0
²»	0xbbb2	0x4e0d
²¼	0xbcb2	0x5e03
²½	0xbdb2	0x6b65
²¾	0xbeb2	0x7c3f
²¿	0xbfb2	0x90e8
²À	0xc0b2	0x6016
²Á	0xc1b2	0x64e6
²Â	0xc2b2	0x731c
²Ã	0xc3b2	0x88c1
²Ä	0xc4b2	0x6750
²Å	0xc5b2	0x624d
²Æ	0xc6b2	0x8d22
²Ç	0xc7b2	0x776c
²È	0xc8b2	0x8e29
²É	0xc9b2	0x91c7
²Ê	0xcab2	0x5f69
²Ë	0xcbb2	0x83dc
²Ì	0xccb2	0x8521
²Í	0xcdb2	0x9910
²Î	0xceb2	0x53c2
²Ï	0xcfb2	0x8695
²Ð	0xd0b2	0x6b8b
²Ñ	0xd1b2	0x60ed
²Ò	0xd2b2	0x60e8
²Ó	0xd3b2	0x707f
²Ô	0xd4b2	0x82cd
²Õ	0xd5b2	0x8231
²Ö	0xd6b2	0x4ed3
²×	0xd7b2	0x6ca7
²Ø	0xd8b2	0x85cf
